ObjectID,Match_addr,LongLabel,ShortLabel,Addr_type,Place_addr,Postal,PostalExt,Country,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,USER_Station,USER_Address,USER_City,USER_State,USER_Zip,Date Occurred
1,"3000 W Military Hwy, Mcallen, Texas, 78503","3000 W Military Hwy, Mcallen, TX, 78503, USA",3000 W Military Hwy,PointAddress,"3000 W Military Hwy, Mcallen, Texas, 78503",78503,5700,USA,-98.26478699,26.15389301,-98.26478699,26.15389301,-98.26578699,-98.26378699,26.15289301,26.15489301,McAllen Station,3000 West Military Highway,McAllen,Texas,78503,2021-08-12T17:35:00+00:00
2,"940 FM 511, Olmito, Texas, 78575","940 FM 511, Olmito, TX, 78575, USA",940 FM 511,PointAddress,"940 FM 511, Olmito, Texas, 78575",78575,5213,USA,-97.5076687,26.02185729,-97.50786199,26.020268,-97.50886199,-97.50686199,26.019268,26.021268,Brownsville Station,940 N. FM 511,Olmito,Texas,78575,2021-08-13T17:35:00+00:00
3,"730 Border Patrol Ln, Rio Grande City, Texas, 78582","730 Border Patrol Ln, Rio Grande City, TX, 78582, USA",730 Border Patrol Ln,StreetAddress,"730 Border Patrol Ln, Rio Grande City, Texas, 78582",78582,6560,USA,-98.65117033,26.30943677,-98.65117033,26.30943677,-98.65217033,-98.65017033,26.30843677,26.31043677,Rio Grande City Station,730 Border Patrol Lane,Rio Grande City,Texas,78582,2021-08-14T17:35:00+00:00
4,"3902 S Expressway 77, Harlingen, Texas, 78552","3902 S Expressway 77, Harlingen, TX, 78552, USA",3902 S Expressway 77,PointAddress,"3902 S Expressway 77, Harlingen, Texas, 78552",78552,7842,USA,-97.68692409,26.16321817,-97.687887,26.16170499,-97.688887,-97.686887,26.16070499,26.16270499,Harlingen Station,3902 S. Expressway 77,Harlingen,Texas,78522,2021-08-15T17:35:00+00:00
5,"S Expressway 83, Brownsville, Texas, 78520","S Expressway 83, Brownsville, TX, 78520, USA",S Expressway 83,StreetName,"S Expressway 83, Brownsville, Texas, 78520",78520,,USA,-97.49111856,25.91943298,-97.49111856,25.91943298,-97.49211856,-97.49011856,25.91843298,25.92043298,Fort Brown Station,3305 S. Expressway 83,Brownsville,Texas,78521,2021-08-16T17:35:00+00:00
6,"9149 Highway 44, Corpus Christi, Texas, 78406","9149 Highway 44, Corpus Christi, TX, 78406, USA",9149 Highway 44,PointAddress,"9149 Highway 44, Corpus Christi, Texas, 78406",78406,1945,USA,-97.541961,27.78161402,-97.541961,27.78161402,-97.542961,-97.540961,27.78061402,27.78261402,Corpus Christi Station,9149 State Highway 44,Corpus Christi,Texas,78406,2021-08-17T17:35:00+00:00
7,"933 County Road 300, Falfurrias, Texas, 78355","933 County Road 300, Falfurrias, TX, 78355, USA",933 County Road 300,PointAddress,"933 County Road 300, Falfurrias, Texas, 78355",78355,5272,USA,-98.15802996,27.20322301,-98.15802996,27.20322301,-98.15902996,-98.15702996,27.20222301,27.20422301,Falfurrias Station,933 County Road 300,Falfurrias,Texas,78355,2021-08-12T17:35:00+00:00
8,"1501 E Expressway 83, Weslaco, Texas, 78599","1501 E Expressway 83, Weslaco, TX, 78599, USA",1501 E Expressway 83,PointAddress,"1501 E Expressway 83, Weslaco, Texas, 78599",78599,5014,USA,-97.97688396,26.17178578,-97.97662998,26.17233999,-97.97762998,-97.97562998,26.17133999,26.17333999,Weslaco Station,1501 E. Expressway 83,Weslaco,Texas,78559,2021-08-13T17:35:00+00:00
9,"2422 Senator Carlos Truan Blvd, Kingsville, Texas, 78363","2422 Senator Carlos Truan Blvd, Kingsville, TX, 78363, USA",2422 Senator Carlos Truan Blvd,StreetAddress,"2422 Senator Carlos Truan Blvd, Kingsville, Texas, 78363",78363,,USA,-97.83834505,27.49650105,-97.83834505,27.49650105,-97.83934505,-97.83734505,27.49550105,27.49750105,Kingsville Station,2422 E. Senator Carlos Truan Blvd,Kingsville,Texas,78363,2021-08-14T17:35:00+00:00
